text,target
"这部电影太棒了，剧情精彩，演员演技在线！",1
"非常好的产品，物超所值，强烈推荐！",1
"服务态度很好，下次还会再来！",1
"The movie was absolutely fantastic great acting!",1
"Excellent product exactly what I needed.",1
"Amazing experience highly recommended!",1
"质量很好，发货速度快，满意！",1
"Great service and fast delivery!",1
"这家餐厅的菜品味道一绝，环境也很棒！",1
"The best purchase I have made this year!",1
"用户体验非常好，操作简单方便。",1
"This app is so useful and intuitive.",1
"客服响应很快，问题解决得很及时。",1
"Lovely design and great functionality.",1
"价格实惠，性价比很高。",1
"酒店环境优雅，服务周到细致。",1
"Perfect hotel experience and will come back again.",1
"食物新鲜美味，份量十足。",1
"The food was delicious and well presented.",1
"购物体验愉快，店员很热情。",1
"Outstanding customer support and service.",1
"产品包装精美，送礼很有面子。",1
"Fast shipping and excellent packaging.",1
"这款手机性能强悍，值得购买。",1
"Great phone with amazing features.",1
"音质清晰，降噪效果一流。",1
"Crystal clear audio quality highly recommend.",1
"界面设计简洁大方，操作流畅。",1
"User-friendly interface love it.",1
"售后服务很棒，问题都解决了。",1
"Excellent after-sales support very satisfied.",1
"课程内容丰富，老师讲解清晰。",1
"Great learning experience and content.",1
"性价比超高，超出预期。",1
"Amazing value for money very happy.",1
"物流速度很快，包装完好。",1
"Quick delivery and item arrived safely.",1
"房间干净整洁，设施齐全。",1
"Clean room with all necessary amenities.",1
"太失望了，完全不值这个价格。",0
"质量太差，用了一天就坏了。",0
"服务态度恶劣，再也不会来了。",0
"Terrible movie waste of time and money.",0
"Poor quality broke after one use.",0
"Awful experience never coming back.",0
"包装破损，商品有瑕疵，很不满意。",0
"Shipping was slow and item was damaged.",0
"这餐厅又贵又难吃，环境也脏。",0
"Completely disappointed with this purchase.",0
"软件太卡了，体验极差。",0
"The app keeps crashing not usable at all.",0
"等了很久都没有人处理我的问题。",0
"Horrible customer service never buying again.",0
"广告太多，影响使用体验。",0
"酒店卫生条件太差，不推荐。",0
"Dirty room and poor service avoid this hotel.",0
"食物不新鲜，吃完肚子不舒服。",0
"The food was cold and tasteless.",0
"店员态度冷漠，购物体验差。",0
"Rude staff and bad shopping experience.",0
"产品与描述不符，感觉被骗了。",0
"Item not as described total waste of money.",0
"手机发热严重，电池续航差。",0
"Phone overheats and battery drains fast.",0
"音质很差，噪音很大。",0
"Terrible sound quality and lots of noise.",0
"界面混乱，操作复杂难用。",0
"Confusing interface hard to navigate.",0
"售后服务形同虚设，无人理会。",0
"No response from customer service very frustrated.",0
"课程内容水分大，浪费时间。",0
"Boring course learned nothing useful.",0
"价格虚高，质量一般。",0
"Overpriced and mediocre quality.",0
"物流太慢，等了半个月。",0
"Extremely slow shipping took forever.",0
"房间设施老旧，空调不制冷。",0
"Old facilities and broken air conditioning.",0
